Stock name,Symbol,Link
Ind-swift Limited,INDSWFTLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDSWFTLTD"""
Indian Terrain Fashions Limited,INDTERRAIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDTERRAIN"""
Indusind Bank Limited,INDUSINDBK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDUSINDBK"""
Indus Towers Ltd (Bharti Infratel),INDUSTOWER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDUSTOWER"""
Infibeam Incorporation Limited,INFIBEAM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFIBEAM"""
InfoBeans Technologies Ltd,INFOBEAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFOBEAN"""
Infomedia Press Limited,INFOMEDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFOMEDIA"""
Nippon India ETF Infra BeES,INFRABEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFRABEES"""
ICICI Prudential Nifty Infrastructure ETF,INFRAIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFRAIETF"""
Infosys Limited,INFY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INFY"""
Ingersoll Rand (india) Limited,INGERRAND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INGERRAND"""
Innova Captab Ltd,INNOVACAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INNOVACAP"""
Innovana Thinklabs Ltd,INNOVANA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INNOVANA"""
Inox Green Energy Services Ltd,INOXGREEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INOXGREEN"""
Inox India Ltd,INOXINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INOXINDIA"""
Inox Wind Limited,INOXWIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INOXWIND"""
Insecticides (india) Limited,INSECTICID,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INSECTICID"""
Inspirisys Solutions Ltd,INSPIRISYS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INSPIRISYS"""
Intellect Design Arena Limited,INTELLECT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INTELLECT"""
Intense Technologies Ltd,INTENTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INTENTECH"""
Interarch Building Products Ltd,INTERARCH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INTERARCH"""
International Conveyors Ltd,INTLCONV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INTLCONV"""
Inventure Growth & Securities Limited,INVENTURE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INVENTURE"""
Indian Overseas Bank,IOB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IOB"""
Indian Oil Corporation Limited,IOC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IOC"""
Iol Chemicals And Pharmaceuticals Limited,IOLCP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IOLCP"""
Ion Exchange (India) Ltd,IONEXCHANG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IONEXCHANG"""
Ipca Laboratories Limited,IPCALAB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IPCALAB"""
India Pesticides Ltd,IPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IPL"""
Irb Infrastructure Developers Limited,IRB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRB"""
Ircon International Ltd,IRCON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRCON"""
Indian Railway Catering & Tourism Corporation Ltd,IRCTC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRCTC"""
Indian Renewable Energy Development Agency Ltd,IREDA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IREDA"""
Indian Railway Finance Corporation Ltd,IRFC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRFC"""
Iris Clothings Ltd,IRISDOREME,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRISDOREME"""
IRM Energy Ltd,IRMENERGY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IRMENERGY"""
Intrasoft Technologies Limited,ISFT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ISFT"""
ISGEC Heavy Engineering  Ltd,ISGEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ISGEC"""
Kotak IT ETF,IT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IT"""
Nippon India ETF Nifty IT,ITBEES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITBEES"""
Itc Limited,ITC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITC"""
ITC Hotels Ltd,ITCHOTELS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITCHOTELS"""
India Tourism Development Corporation Ltd,ITDC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITDC"""
Itd Cementation India Limited,ITDCEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITDCEM"""
Mirae Asset Nifty IT ETF,ITETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITETF"""
DSP Nifty IT ETF,ITETFADD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITETFADD"""
Iti Limited,ITI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITI"""
ICICI Prudential IT ETF,ITIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ITIETF"""
Il&fs Investment Managers Limited,IVC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IVC"""
Ivp Limited,IVP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IVP"""
Invesco India Gold ETF,IVZINGOLD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IVZINGOLD"""
Invesco India Nifty ETF,IVZINNIFTY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IVZINNIFTY"""
Inox Wind Energy Ltd,IWEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IWEL"""
Le Travenues Technology Ltd,IXIGO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IXIGO"""
The Jammu & Kashmir Bank Limited,J&KBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:J&KBANK"""
Jagran Prakashan Limited,JAGRAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAGRAN"""
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAGSNPHARM"""
Jai Balaji Industries Limited,JAIBALAJI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAIBALAJI"""
Jai Corp Limited,JAICORPLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAICORPLTD"""
Nandani Creation Ltd,JAIPURKURT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAIPURKURT"""
Jamna Auto Industries Limited,JAMNAAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JAMNAAUTO"""
Jash Engineering Ltd,JASH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:JASH"""
